"Competitor","Service","Observed public price","Geography relevance","Notes"
"The Professionals pro.co","Handyman visit / small-job band","₪250–350, ₪250–400, ₪350–450, and ₪200–600 pro.co","High for Harish","VAT-inclusive on page pro.co"
"The Professionals pro.co","Cleaning project bands","₪1,000–1,700, ₪1,400–1,850, ₪1,600–2,500, ₪1,800–3,000 pro.co","High for Harish","Local Harish cleaning page, VAT-inclusive pro.co"
"KABLAY kablay.co","Hourly handyman","₪180/hour; half day ₪650; full day ₪1,200; work-order visit free, consultation-only ₪180 kablay.co","Medium, national","Transparent benchmark, not Harish-specific kablay.co"
"KABLAY kablay","TV mount up to 55""","From ₪220 kablay","Medium, national","Clear public anchor customers may compare against kablay"
"KABLAY kablay","TV mount 65""+","From ₪320 kablay","Medium, national","Cable concealment extra kablay"
"KABLAY kablay","Hidden TV cables in wall","From ₪180 kablay","Medium, national","Important upsell benchmark kablay"
"KABLAY kablay","Wall curtain rod","From ₪140 kablay","Medium, national","Ceiling version higher kablay"
"KABLAY kablay","Ceiling curtain rod","From ₪180 kablay","Medium, national","Useful for package exclusions kablay"
"KABLAY kablay.co","Shelf hanging","From ₪95; heavy shelf ₪150 kablay.co","Medium, national","Lower anchor than Pro/Midrag item benchmarks kablay.co"
"KABLAY kablay.co","Large mirror hanging","From ₪280 kablay.co","Medium, national","Relevant for premium install bundles kablay.co"
"KABLAY kablay","Standard IKEA item assembly","From ₪280 kablay","Medium, national","Strong benchmark for setup packages kablay"
"KABLAY kablay","2-door wardrobe assembly","From ₪380 kablay","Medium, national","Moderate complexity item kablay"
"KABLAY kablay","Large/sliding wardrobe assembly","From ₪580 kablay","Medium, national","High-complexity item kablay"
"KABLAY kablay","Desk assembly","From ₪220 kablay","Medium, national","Common move-in/setup task kablay"
"Cleanew local page cleanew.co","Full apartment cleaning average","Around ₪1,800 cleanew.co","Medium for Harish","Marketing page; low evidence quality cleanew.co"
"Cleanew local page cleanew.co","4-room post-renovation clean","₪1,700 example cleanew.co","Medium for Harish","Example only; low confidence cleanew.co"
