observation_id,service_category,sub_service,source_url,source_date,observed_date,geography,minimum_nis,maximum_nis,typical_nis,vat_included,materials_included,callout_included,pricing_basis,minimum_charge,urgency_surcharge,night_weekend_holiday_surcharge,travel_adjustment,included,excluded,conditions,evidence_type,confidence,typical_type,source_scope,local_price_status,provisional,manual_validation_required,source_id
NAT_PRO_HANDY_VISIT,Handyman visits,Standard handyman visit,https://www.pro.co.il/handymen/pricing/handyman-service,not displayed,2026-08-20,Israel (national),250,350,300,Yes,Not specified,Yes; visit price,per visit,250,Night/Shabbat/holiday may increase 150%-200%,150%-200% increase possible,Not specified,"Standard-hours visit, Sunday-Thursday 07:00-19:00",Materials and scope not specified,Standard working hours,Verified national price list,High,observed average stated by source,National,National benchmark; not local price evidence. No verified local price evidence found.,No,No,SRC_NAT_PRO_HANDY_VISIT
NAT_PRO_TV,Installation,TV mounting with standard arm up to 42 inches,https://www.pro.co.il/handymen/pricing,not displayed,2026-08-20,Israel (national),250,300,275,Yes,No; arm excluded,Not specified,per item,250,Visit prices may rise 150%-200% outside standard hours,150%-200% possible,Not specified,Installation labor for standard arm up to 42 inches,TV arm,Size limited to 42 inches; wall/cable work not specified,Verified national price list,High,calculated midpoint,National,National benchmark; not local price evidence. No verified local price evidence found.,No,No,SRC_NAT_PRO_TV
NAT_PRO_PICTURE,Installation,Single picture hanging,https://www.pro.co.il/handymen/pricing,not displayed,2026-08-20,Israel (national),150,150,150,Yes,No; picture excluded,Not specified,per item,150,Not specified,150%-200% possible at visit level,Not specified,Hanging one picture,Picture,One item only,Verified national price list,High,calculated midpoint,National,National benchmark; not local price evidence. No verified local price evidence found.,No,No,SRC_NAT_PRO_PICTURE
NAT_PRO_MIRROR,Installation,Single mirror installation,https://www.pro.co.il/handymen/pricing,not displayed,2026-08-20,Israel (national),200,400,300,Yes,No; mirror excluded,Not specified,per item,200,Not specified,150%-200% possible at visit level,Not specified,Hanging one mirror,Mirror,Weight/wall type not specified,Verified national price list,High,calculated midpoint,National,National benchmark; not local price evidence. No verified local price evidence found.,No,No,SRC_NAT_PRO_MIRROR
NAT_PRO_SHELVES,Installation,Up to three shelves installation,https://www.pro.co.il/handymen/pricing,not displayed,2026-08-20,Israel (national),300,350,325,Yes,Not specified,Not specified,per bundle up to 3 shelves,300,Not specified,150%-200% possible at visit level,Not specified,Installation of up to three shelves,Not specified,Wall/load type not specified,Verified national price list,High,calculated midpoint,National,National benchmark; not local price evidence. No verified local price evidence found.,No,No,SRC_NAT_PRO_SHELVES
NAT_PRO_CURTAIN,Installation,One curtain hanging,https://www.pro.co.il/handymen/pricing,not displayed,2026-08-20,Israel (national),200,300,250,Yes,No; curtain excluded,Not specified,per curtain,200,Not specified,150%-200% possible at visit level,Not specified,Hanging one curtain,Curtain,Rail type/surface not specified,Verified national price list,High,calculated midpoint,National,National benchmark; not local price evidence. No verified local price evidence found.,No,No,SRC_NAT_PRO_CURTAIN
NAT_PRO_FURN_SMALL,Furniture assembly,Small furniture assembly,https://www.pro.co.il/handymen/pricing,not displayed,2026-08-20,Israel (national),300,400,350,Yes,Not specified,Not specified,per item,300,Not specified,150%-200% possible at visit level,Not specified,"Small furniture such as TV unit, desk or utility cabinet",Not specified,Changes with size and complexity,Verified national price list,High,calculated midpoint,National,National benchmark; not local price evidence. No verified local price evidence found.,No,No,SRC_NAT_PRO_FURN_SMALL
NAT_PRO_FURN_LARGE,Furniture assembly,Large furniture assembly,https://www.pro.co.il/handymen/pricing,not displayed,2026-08-20,Israel (national),300,500,400,Yes,Not specified,Not specified,per item,300,Not specified,150%-200% possible at visit level,Not specified,"Large furniture such as bed, wardrobe or wall unit",Not specified,Changes with size and complexity,Verified national price list,High,calculated midpoint,National,National benchmark; not local price evidence. No verified local price evidence found.,No,No,SRC_NAT_PRO_FURN_LARGE
NAT_PRO_PAINT,Painting,Small paint repair,https://www.pro.co.il/handymen/pricing,not displayed,2026-08-20,Israel (national),300,500,400,Yes,Not specified,Not specified,per small repair,300,Not specified,150%-200% possible at visit level,Not specified,Small paint repair,Not specified,Color matching and area not specified,Verified national price list,High,calculated midpoint,National,National benchmark; not local price evidence. No verified local price evidence found.,No,No,SRC_NAT_PRO_PAINT
NAT_PRO_PATCH,Patching,Small putty repair,https://www.pro.co.il/handymen/pricing,not displayed,2026-08-20,Israel (national),300,400,350,Yes,Not specified,Not specified,per small repair,300,Not specified,150%-200% possible at visit level,Not specified,Small putty repair,Not specified,Moisture/structural cause excluded unless separately scoped,Verified national price list,High,calculated midpoint,National,National benchmark; not local price evidence. No verified local price evidence found.,No,No,SRC_NAT_PRO_PATCH
