source_id,publisher,source_url,page_title,page_type,access_status,geography,local_or_national,prices_displayed,vat_status,publication_date,observed_date,evidence_quality,limitations,manual_validation_required
SRC_NAT_PRO_HANDY_VISIT,The Professionals (pro.co.il),https://www.pro.co.il/handymen/pricing/handyman-service,ביקור הנדימן » מחירון תיקונים כלליים,National price list page,Accessible; retrieved and prices captured,Israel,National,Yes,Displayed as VAT-inclusive,Not displayed on page,2026-08-20,High,Not a Harish/Pardes Hanna/Hadera local observation; materials and travel largely unspecified,No
SRC_NAT_PRO_INDEX,The Professionals (pro.co.il),https://www.pro.co.il/handymen/pricing,מחירון הנדימן » מחיר תיקונים כלליים לבית,National price list page,Accessible; retrieved and prices captured,Israel,National,Yes,Displayed as VAT-inclusive,Not displayed on page,2026-08-20,High,National only; not city-specific,No
SRC_NAT_MID_HANDY,Midrag,https://www.midrag.co.il/Content/Price/6271,הנדימן – מחירים | כמה עולות עבודות של הנדימן?,National price guide,Accessible on retrieval; page content retrieved but not converted into new row-level observations in this dataset,Israel,National,Yes (on page); not extracted into new rows here,Not specified,Not displayed on page,2026-08-20,Provisional / not yet row-extracted,Requires manual extraction and validation before use as a discrete observation row,Yes
SRC_NAT_MID_CLEAN25,Midrag,https://www.midrag.co.il/Content/SectorPriceList/25,מחירון ניקיון ופוליש,National price list,Accessible on retrieval; page content retrieved but not converted into new row-level observations in this dataset,Israel,National,Yes (on page); not extracted into new rows here,Not specified,Not displayed on page,2026-08-20,Provisional / not yet row-extracted,Requires manual extraction and validation before use,Yes
SRC_NAT_MID_POST4409,Midrag,https://www.midrag.co.il/Content/Price/4409,מחירים של ניקיון דירה אחרי שיפוץ,National price guide,"Accessible; used for NAT_MID_POST4, NAT_MID_POST100, NAT_MID_POST5, NAT_MID_GLASS4",Israel,National,Yes,Not specified,Not displayed on page,2026-08-20,Provisional (Midrag; requires manual revalidation),Example-based prices; not Harish/Pardes Hanna specific,Yes
SRC_NAT_MID_AC18,Midrag,https://www.midrag.co.il/Content/SectorPriceList/18,מחירון מזגנים,National price list,"Accessible; used for NAT_MID_AC_FILTER, NAT_MID_AC_DEEP, NAT_MID_AC_MOLD, NAT_MID_AC_VISIT",Israel,National,Yes,Not specified,Not displayed on page,2026-08-20,Provisional (Midrag; requires manual revalidation),National AC benchmark only; not local,Yes
SRC_PRO_HARISH_HANDY,The Professionals (pro.co.il),https://www.pro.co.il/handymen/harish,הנדימן בחריש,Local provider directory/category page,Accessible,Harish,Harish-specific,"Page references bands in narrative form but no discrete, individually re-verified price row is included in this dataset",Page states prices shown are VAT-inclusive (not independently re-confirmed row-by-row here),Page indicated update around 2026-06-28 in prior retrieval,2026-08-20,Directory / availability evidence only; not used as a priced row,Not treated as price evidence per instruction that directories without a captured displayed price are availability evidence only,Yes
SRC_PRO_HARISH_CLEAN,The Professionals (pro.co.il),https://www.pro.co.il/house-cleaning-companies/harish,חברת ניקיון בחריש,Local provider directory/category page,Accessible,Harish,Harish-specific,"Page references bands in narrative form but no discrete, individually re-verified price row is included in this dataset",Page states prices shown are VAT-inclusive (not independently re-confirmed row-by-row here),Page indicated update around 2026-06-01 in prior retrieval,2026-08-20,Directory / availability evidence only; not used as a priced row,Not treated as price evidence per instruction,Yes
SRC_B144_INDEX,B144,https://www.b144.co.il/PriceList/,מחירונים B144,National price-list index,Accessible,Israel,National,Index/category links only; no specific price captured,Not specified,Not displayed,2026-08-20,Not usable as price evidence,"Index page, not a price row",Yes
SRC_B144_HARISH,B144,https://www.b144.co.il/הנדימן/חריש/,הנדימן בחריש,Local provider directory,Accessible,Harish,Harish-specific,Directory listing; no reliably comparable structured price row retained,Not specified,Not displayed,2026-08-20,Directory / availability evidence only,Not price evidence,Yes
SRC_EASY_PHK,Easy,https://easy.co.il/en/list/Handyman?c2=231&region=1667,Handyman in Pardes Hanna Karkur,Local provider directory,Accessible,Pardes Hanna-Karkur,Pardes Hanna-Karkur-specific,No,Not applicable,Not displayed,2026-08-20,Directory / availability evidence only,Not price evidence,No
SRC_CLEANEW_HARISH,Cleanew,https://cleanew.co.il/חברת-ניקיון-בחריש/,חברת ניקיון בחריש,Provider marketing page,Accessible in prior retrieval,Harish,Harish-specific,Marketing examples exist on page but not independently re-verified in this session,Not specified,2024-09-24 in prior retrieval,2026-08-20,"Low / marketing evidence, unrevalidated",Requires manual revalidation before any use,Yes
SRC_D_HARISH,D.co.il,https://www.d.co.il/h-c2295-e0-p0-l0-city34/,חברות ניקיון בחריש,Provider directory,Accessible in prior retrieval,Harish,Harish-specific,No structured price row retained,Not applicable,2025-03-22 in prior retrieval,2026-08-20,Directory / availability evidence only,Not price evidence,No
SRC_GOV_CANCEL,Government of Israel — Consumer Protection and Fair Trade Authority,https://www.gov.il/he/pages/returns,ביטול עסקה: באינטרנט ובחנויות,Official consumer guidance,Accessible,Israel,National regulatory guidance,No,Not applicable,2024-11-03,2026-08-20,High for guidance content; not a substitute for legal advice,General guidance only; exact application to CleanFixHarish's contract structure requires lawyer confirmation,Yes
SRC_GOV_ELECTRIC,Government of Israel — Ministry of Energy,https://www.gov.il/he/service/applying-for-an-electricians-license,הגשת בקשה לקבלת רישיון לביצוע ולתכנון עבודות חשמל,Official licensing service page,Accessible,Israel,National regulatory guidance,No,Not applicable,2025-02-11,2026-08-20,High,Confirms licensing process exists; does not itself define every job-boundary scope decision,Yes
SRC_GOV_ELECTRIC_STANDARDS,Government of Israel — Ministry of Energy,Exact current document URL not independently re-verified in this session; the previously supplied link was truncated and unreliable,פרופילים ואמות מידה של בעלי רישיון חשמל (exact current URL not confirmed),Official standards document,Inaccessible — cannot cite a truncated or unverified URL,Israel,National regulatory guidance,No,Not applicable,Unknown; not independently reconfirmed,2026-08-20,Not usable until exact URL is re-verified,Do not cite this document until the exact live gov.il URL is confirmed by direct retrieval,Yes
