service_category,sub_service,geography,verified_market_minimum,verified_market_maximum,observed_average_if_available,calculated_midpoint_if_used,recommended_customer_estimate_low,recommended_customer_estimate_high,recommended_provider_budget_low,recommended_provider_budget_high,target_cleanfixharish_gross_margin,materials_policy,travel_policy,urgency_policy,required_customer_information,required_photos,inspection_required,confidence,human_approval_required,evidence_ids,reasoning
Handyman visits,Standard handyman visit,"Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",250,350,₪300 (observed average stated by source),Not applicable (observed average used instead),Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,Night/Shabbat/holiday may increase 150%-200%,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High,Yes—always at this stage,NAT_PRO_HANDY_VISIT,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Installation,TV mounting with standard arm up to 42 inches,"Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",250,300,Not available,275,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,Visit prices may rise 150%-200% outside standard hours,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High,Yes—always at this stage,NAT_PRO_TV,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Installation,Single picture hanging,"Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",150,150,Not available,150,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,No verified urgency multiplier in this row; do not apply an invented surcharge,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High,Yes—always at this stage,NAT_PRO_PICTURE,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Installation,Single mirror installation,"Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",200,400,Not available,300,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,No verified urgency multiplier in this row; do not apply an invented surcharge,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High,Yes—always at this stage,NAT_PRO_MIRROR,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Installation,Up to three shelves installation,"Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",300,350,Not available,325,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,No verified urgency multiplier in this row; do not apply an invented surcharge,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High,Yes—always at this stage,NAT_PRO_SHELVES,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Installation,One curtain hanging,"Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",200,300,Not available,250,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,No verified urgency multiplier in this row; do not apply an invented surcharge,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High,Yes—always at this stage,NAT_PRO_CURTAIN,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Furniture assembly,Small furniture assembly,"Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",300,400,Not available,350,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,No verified urgency multiplier in this row; do not apply an invented surcharge,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High,Yes—always at this stage,NAT_PRO_FURN_SMALL,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Furniture assembly,Large furniture assembly,"Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",300,500,Not available,400,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,No verified urgency multiplier in this row; do not apply an invented surcharge,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High,Yes—always at this stage,NAT_PRO_FURN_LARGE,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Painting,Small paint repair,"Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",300,500,Not available,400,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,No verified urgency multiplier in this row; do not apply an invented surcharge,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High,Yes—always at this stage,NAT_PRO_PAINT,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Patching,Small putty repair,"Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",300,400,Not available,350,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,No verified urgency multiplier in this row; do not apply an invented surcharge,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High,Yes—always at this stage,NAT_PRO_PATCH,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
