"Service / sub-service","Geography","Min","Max","Typical","Basis","VAT","Materials / call-out","Source and direct URL","Date","Confidence","Key conditions"
"Handyman visit","National","₪250","₪350","₪300","Visit","Included","Work scope not specified; ordinary business hours","The Professionals: https://www.pro.co.il/handymen/pricing/handyman-service","Page dated 2018-04-15; current accessibility should be rechecked","Medium","Applies Sun-Thu, 07:00–19:00; urgent/night/Shabbat/holiday work may rise by 150%–200% pro.co"
"TV mounting","National","₪250","₪300","₪275","Per item","Not explicitly confirmed on category result","Bracket, wall type, concealment, and cable work need confirmation","The Professionals: https://www.pro.co.il/handymen/pricing","Not shown","Medium","Do not include electrical relocation or hidden-cable work by default pro"
"Shelf hanging","National","₪300","₪350","₪325","Per item / visit","Not explicitly confirmed on category result","Hardware and wall condition must be quoted","The Professionals: https://www.pro.co.il/handymen/pricing","Not shown","Medium","A specific provider listing showed ₪400–450 for one two-screw shelf; market varies by wall and access pro+1"
"Bathroom accessory installation","National","₪150","₪300","₪225","Per item / visit","Not explicitly confirmed","Materials unclear","The Professionals: https://www.pro.co.il/handymen/pricing","Not shown","Medium","Must identify tiles, drilling locations, and number of pieces pro"
"Furniture assembly, simple to complex","National","₪350 or less","₪500+","₪425+","Per item","Unstated","Furniture only; disposal/anchoring unclear","Midrag: https://www.midrag.co.il/Content/Price/6271","Not shown","Medium","Larger furniture, more components, drawers, and shelves increase price midrag"
"Paint and putty repair","National","₪300","₪500","₪400","Job","Source page says prices include VAT for its list","Paint/material scope unclear","The Professionals: https://www.pro.co.il/handymen/business-id-17510","2025-04-22","Medium","Provider-specific listed range, useful only as a benchmark pro.co"
"Water-damage paint/mold treatment","National","₪600","₪2,500","₪1,550","Job","Unstated","Includes anti-mold paint according to source; root-cause repair separate","Midrag: https://www.midrag.co.il/Content/Price/6271","Not shown","Medium","Depends on room size and mold condition; unresolved leak must be handled first midrag"
"Four-room post-renovation cleaning, no polish","National","₪2,270","₪3,479","₪2,875","Fixed by apartment","Unstated","Explicitly excludes polish","Midrag: https://www.midrag.co.il/Content/SectorPriceList/25","Not shown","High","Aggregated price-list benchmark midrag.co"
"Four-room post-renovation cleaning","National","₪1,500","₪3,200","₪2,350","Fixed by apartment","Unstated","Windows / extensive glass may add ₪300–400","Midrag: https://www.midrag.co.il/Content/Price/4409","Not shown","High","Different Midrag pages show different underlying samples/scope; do not collapse them into one “guaranteed” rate midrag.co"
"Post-renovation, 100 sqm standard 4-room example","National","₪1,300","₪2,000","₪1,650","Fixed by apartment","Unstated","Multi-level layout can increase price; polishing extra","Midrag: https://www.midrag.co.il/Content/Price/4409","Not shown","Medium","This is an illustrative scenario, not a universal rate midrag.co"
"Crystal polish","National","₪20/sqm","₪30/sqm","₪25/sqm","Per sqm","Unstated","Add-on","Midrag: https://www.midrag.co.il/Content/Price/4409","Not shown","Medium","100 sqm example: ₪2,000–3,000 extra midrag.co"
"Wax polish","National","₪10/sqm","₪15/sqm","₪12.5/sqm","Per sqm","Unstated","Add-on","Midrag: https://www.midrag.co.il/Content/Price/4409","Not shown","Medium","100 sqm example: ₪1,000–1,500 extra midrag.co"
"AC filter cleaning, split unit","National","₪262","₪325","₪294","Per unit / visit","Unstated","Basic filters, no deep mold remediation assumed","Midrag: https://www.midrag.co.il/Content/SectorPriceList/18","Not shown","Medium","Different from deep cleaning or technical AC repair midrag.co"
"Deep cleaning, split AC","National","₪377","₪565","₪471","Per unit","Unstated","Scope must state drain, coil, blower, and sanitization","Midrag: https://www.midrag.co.il/Content/SectorPriceList/18","Not shown","Medium","Access and mold condition matter midrag.co"
"Mold cleaning, split AC","National","₪360","₪550","₪455","Per unit","Unstated","Technical treatment scope must be defined","Midrag: https://www.midrag.co.il/Content/SectorPriceList/18","Not shown","Medium","Treat as specialist work, especially when dismantling is needed midrag.co"
"AC technician diagnostic visit","National","₪283","₪351","₪317","Visit","Unstated","Diagnostic only; repair is extra","Midrag: https://www.midrag.co.il/Content/SectorPriceList/18","Not shown","Medium","Do not market technical faults as ordinary “filter cleaning” midrag.co"
"AC technician visit","National","₪150","₪300","₪225","Visit","Unstated","Diagnostic only","B144: https://www.b144.co.il/PriceList/","Not shown","Medium","B144 calls its price list a recommendation/base benchmark b144.co+1"
