geography,service_category,missing_evidence,national_reference_available,required_collection_method,minimum_data_fields_to_capture,status,automation_rule
Harish,Handyman visit,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,TV mounting,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,"Shelves, pictures and mirrors",No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,Curtain installation,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,Furniture assembly,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,Small plaster and wall repairs,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,Small painting jobs,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,Sealing,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,Move-in cleaning,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,Move-out cleaning,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,Routine apartment cleaning,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,Post-renovation cleaning,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,"Window, shutter and track cleaning",No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,Air-conditioner filter cleaning,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,Air-conditioner deep cleaning,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,Air-conditioner mold cleaning,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,Air-conditioner diagnostic visit,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Harish,Small plumbing jobs,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,Handyman visit,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,TV mounting,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,"Shelves, pictures and mirrors",No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,Curtain installation,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,Furniture assembly,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,Small plaster and wall repairs,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,Small painting jobs,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,Sealing,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
